n,p,seed,k,method,found,solution,valid,timeout,num_variables,num_clauses,encoding_time,solver_time,total_time
20,0.8,2,6,cadical,False,[],True,False,104,312,0.0005892000000002895,0.007527099999999898,0.008116300000000187
20,0.8,2,8,backtracking,False,[],True,False,,,,0.0009897999999992635,0.0009897999999992635
20,0.8,2,8,minisat,False,[],True,False,116,340,0.001214199999999721,0.0034226000000003864,0.0046368000000001075
20,0.8,2,8,cadical,False,[],True,False,116,340,0.001214199999999721,0.008135499999999851,0.009349699999999572
20,0.8,3,6,backtracking,False,[],True,False,,,,0.0013472999999999402,0.0013472999999999402
20,0.8,3,6,minisat,False,[],True,False,104,305,0.0006129999999995306,0.0025589000000003637,0.0031718999999998942
20,0.8,3,6,cadical,False,[],True,False,104,305,0.0006129999999995306,0.006736700000000262,0.0073496999999997925
20,0.8,3,8,backtracking,False,[],True,False,,,,0.0008828999999996867,0.0008828999999996867
20,0.8,3,8,minisat,False,[],True,False,116,333,0.0006776999999997813,0.001763500000000029,0.00244119999999981
20,0.8,3,8,cadical,False,[],True,False,116,333,0.0006776999999997813,0.008789499999999784,0.009467199999999565
30,0.2,1,9,backtracking,True,"[0, 2, 3, 4, 5, 8, 12, 13, 16]",True,False,,,,0.00011520000000064812,0.00011520000000064812
30,0.2,1,9,minisat,True,"[0, 2, 3, 4, 5, 8, 12, 13, 16]",True,False,219,452,0.0010932999999999637,0.0032982999999999763,0.00439159999999994
30,0.2,1,9,cadical,True,"[0, 2, 3, 4, 5, 8, 12, 13, 16, 24, 28]",True,False,219,452,0.0010932999999999637,0.011736700000000155,0.012830000000000119
30,0.2,1,12,backtracking,True,"[0, 2, 3, 5, 7, 8, 12, 13, 16, 19, 24, 28]",True,False,,,,0.006562399999999968,0.006562399999999968
30,0.2,1,12,minisat,True,"[0, 2, 3, 12, 13, 15, 16, 19, 24, 25, 26, 29]",True,False,246,512,0.0012806000000002982,0.0032623000000002733,0.0045429000000005715
30,0.2,1,12,cadical,True,"[0, 2, 3, 12, 13, 15, 16, 19, 24, 25, 26, 29]",True,False,246,512,0.0012806000000002982,0.00845840000000031,0.009739000000000608
30,0.2,2,9,backtracking,True,"[0, 1, 5, 6, 9, 11, 16, 26, 27]",True,False,,,,0.0001876999999996798,0.0001876999999996798
30,0.2,2,9,minisat,True,"[2, 6, 7, 8, 10, 12, 13, 16, 23]",True,False,219,450,0.0009950999999999155,0.0019162000000001456,0.002911300000000061
30,0.2,2,9,cadical,True,"[0, 1, 5, 6, 9, 11, 16, 26, 27]",True,False,219,450,0.0009950999999999155,0.008185000000000109,0.009180100000000024
30,0.2,2,12,backtracking,True,"[0, 1, 6, 7, 10, 11, 14, 15, 23, 26, 27, 29]",True,False,,,,0.004518499999999648,0.004518499999999648
30,0.2,2,12,minisat,True,"[0, 2, 7, 8, 10, 13, 14, 18, 19, 24, 26, 29]",True,False,246,510,0.0012873999999998276,0.002097899999999875,0.0033852999999997024
30,0.2,2,12,cadical,True,"[0, 2, 7, 8, 10, 13, 14, 18, 23, 24, 26, 29]",True,False,246,510,0.0012873999999998276,0.011067299999999669,0.012354699999999497
30,0.2,3,9,backtracking,True,"[0, 1, 2, 3, 4, 9, 15, 19, 20]",True,False,,,,0.0001438999999994195,0.0001438999999994195
30,0.2,3,9,minisat,True,"[0, 1, 2, 4, 5, 9, 15, 20, 24]",True,False,219,448,0.0009719999999999729,0.003297400000000117,0.00426940000000009
30,0.2,3,9,cadical,True,"[0, 1, 2, 3, 4, 9, 15, 19, 20, 24, 25]",True,False,219,448,0.0009719999999999729,0.005984500000000281,0.006956500000000254
30,0.2,3,12,backtracking,False,[],True,False,,,,0.4144760999999999,0.4144760999999999
30,0.2,3,12,minisat,False,[],True,False,246,508,0.001054700000000075,0.005888399999999905,0.00694309999999998
30,0.2,3,12,cadical,False,[],True,False,246,508,0.001054700000000075,0.014577200000000623,0.015631900000000698
30,0.5,1,9,backtracking,False,[],True,False,,,,0.019583700000000093,0.019583700000000093
30,0.5,1,9,minisat,False,[],True,False,219,584,0.001139499999999849,0.003711599999999926,0.004851099999999775
